gender,age_category,map_disease_category,year_group,case,total_case,percentage_of_group
F,15-49 years,Cardiovascular diseases,2008 - 2010,2354,46297,5.084562714646737
F,15-49 years,Cardiovascular diseases,2011 - 2013,1021,22458,4.5462641375011135
F,15-49 years,Cardiovascular diseases,2014 - 2016,960,17165,5.592775997669676
F,15-49 years,Cardiovascular diseases,2017 - 2019,712,12511,5.6909919271041485
F,15-49 years,Cardiovascular diseases,2020 - 2022,464,6859,6.764834523983088
F,15-49 years,Chronic respiratory diseases,2008 - 2010,2620,46297,5.659113981467482
F,15-49 years,Chronic respiratory diseases,2011 - 2013,828,22458,3.686882180069463
F,15-49 years,Chronic respiratory diseases,2014 - 2016,428,17165,2.493445965627731
F,15-49 years,Chronic respiratory diseases,2017 - 2019,223,12511,1.782431460314923
F,15-49 years,Chronic respiratory diseases,2020 - 2022,97,6859,1.4142003207464644
F,15-49 years,Diabetes and kidney diseases,2008 - 2010,1860,46297,4.017538933408212
F,15-49 years,Diabetes and kidney diseases,2011 - 2013,506,22458,2.253094665598005
F,15-49 years,Diabetes and kidney diseases,2014 - 2016,372,17165,2.1672006990969996
F,15-49 years,Diabetes and kidney diseases,2017 - 2019,256,12511,2.0461993445767725
F,15-49 years,Diabetes and kidney diseases,2020 - 2022,120,6859,1.7495261699956262
F,15-49 years,Digestive diseases,2008 - 2010,6596,46297,14.24714344341966
F,15-49 years,Digestive diseases,2011 - 2013,2970,22458,13.224686080683941
F,15-49 years,Digestive diseases,2014 - 2016,1922,17165,11.197203612001164
F,15-49 years,Digestive diseases,2017 - 2019,1292,12511,10.326912317160899
F,15-49 years,Digestive diseases,2020 - 2022,837,6859,12.202945035719493
F,15-49 years,Enteric infections,2008 - 2010,437,46297,0.94390565263408
F,15-49 years,Enteric infections,2011 - 2013,175,22458,0.7792323448214445
F,15-49 years,Enteric infections,2014 - 2016,125,17165,0.7282260413632392
F,15-49 years,Enteric infections,2017 - 2019,78,12511,0.6234513628007353
F,15-49 years,Enteric infections,2020 - 2022,23,6859,0.3353258492491617
F,15-49 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,231,46297,0.49895241592327794
F,15-49 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,141,22458,0.6278386321132782
F,15-49 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,79,17165,0.4602388581415672
F,15-49 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,63,12511,0.50355686995444
F,15-49 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,47,6859,0.685231083248287
F,15-49 years,Maternal and neonatal disorders,2008 - 2010,11130,46297,24.0404345853943
F,15-49 years,Maternal and neonatal disorders,2011 - 2013,5863,22458,26.10650992964645
F,15-49 years,Maternal and neonatal disorders,2014 - 2016,4834,17165,28.161957471599187
F,15-49 years,Maternal and neonatal disorders,2017 - 2019,3277,12511,26.192950203820637
F,15-49 years,Maternal and neonatal disorders,2020 - 2022,1493,6859,21.767021431695582
F,15-49 years,Mental disorders,2008 - 2010,4345,46297,9.385057347128324
F,15-49 years,Mental disorders,2011 - 2013,2630,22458,11.71074895360228
F,15-49 years,Mental disorders,2014 - 2016,2209,17165,12.869210602971162
F,15-49 years,Mental disorders,2017 - 2019,1893,12511,15.130684997202462
F,15-49 years,Mental disorders,2020 - 2022,1095,6859,15.96442630121009
F,15-49 years,Musculoskeletal disorders,2008 - 2010,1947,46297,4.205456077067629
F,15-49 years,Musculoskeletal disorders,2011 - 2013,805,22458,3.5844687861786446
F,15-49 years,Musculoskeletal disorders,2014 - 2016,498,17165,2.901252548791145
F,15-49 years,Musculoskeletal disorders,2017 - 2019,361,12511,2.885460794500839
F,15-49 years,Musculoskeletal disorders,2020 - 2022,238,6859,3.469893570491325
F,15-49 years,Neglected tropical diseases and malaria,2008 - 2010,31,46297,0.0669589822234702
F,15-49 years,Neglected tropical diseases and malaria,2011 - 2013,9,22458,0.04007480630510286
F,15-49 years,Neglected tropical diseases and malaria,2014 - 2016,19,17165,0.11069035828721234
F,15-49 years,Neglected tropical diseases and malaria,2017 - 2019,11,12511,0.0879226280872832
F,15-49 years,Neglected tropical diseases and malaria,2020 - 2022,5,6859,0.07289692374981775
F,15-49 years,Neoplasms,2008 - 2010,1466,46297,3.166511869019591
F,15-49 years,Neoplasms,2011 - 2013,897,22458,3.994122361741918
F,15-49 years,Neoplasms,2014 - 2016,667,17165,3.885814156714244
F,15-49 years,Neoplasms,2017 - 2019,497,12511,3.97250419630725
F,15-49 years,Neoplasms,2020 - 2022,298,6859,4.344656655489138
F,15-49 years,Neurological disorders,2008 - 2010,2172,46297,4.691448689979913
F,15-49 years,Neurological disorders,2011 - 2013,902,22458,4.0163861430225305
F,15-49 years,Neurological disorders,2014 - 2016,689,17165,4.013981939994174
F,15-49 years,Neurological disorders,2017 - 2019,502,12511,4.012469027256015
F,15-49 years,Neurological disorders,2020 - 2022,252,6859,3.674004956990815
F,15-49 years,Nutritional deficiencies,2008 - 2010,160,46297,0.3455947469598462
F,15-49 years,Nutritional deficiencies,2011 - 2013,88,22458,0.39184255053878353
F,15-49 years,Nutritional deficiencies,2014 - 2016,62,17165,0.3612001165161666
F,15-49 years,Nutritional deficiencies,2017 - 2019,56,12511,0.44760610662616895
F,15-49 years,Nutritional deficiencies,2020 - 2022,36,6859,0.5248578509986879
F,15-49 years,Other infectious diseases,2008 - 2010,969,46297,2.0930081862755685
F,15-49 years,Other infectious diseases,2011 - 2013,479,22458,2.1328702466826965
F,15-49 years,Other infectious diseases,2014 - 2016,417,17165,2.429362073987766
F,15-49 years,Other infectious diseases,2017 - 2019,329,12511,2.6296858764287427
F,15-49 years,Other infectious diseases,2020 - 2022,196,6859,2.8575594109928564
F,15-49 years,Other non-communicable diseases,2008 - 2010,4175,46297,9.017862928483487
F,15-49 years,Other non-communicable diseases,2011 - 2013,1973,22458,8.785288093329772
F,15-49 years,Other non-communicable diseases,2014 - 2016,1434,17165,8.35420914651908
F,15-49 years,Other non-communicable diseases,2017 - 2019,975,12511,7.793142035009192
F,15-49 years,Other non-communicable diseases,2020 - 2022,494,6859,7.202216066481995
F,15-49 years,Respiratory infections and tuberculosis,2008 - 2010,1062,46297,2.293885132945979
F,15-49 years,Respiratory infections and tuberculosis,2011 - 2013,457,22458,2.034909609048001
F,15-49 years,Respiratory infections and tuberculosis,2014 - 2016,336,17165,1.9574715991843867
F,15-49 years,Respiratory infections and tuberculosis,2017 - 2019,199,12511,1.5906002717608503
F,15-49 years,Respiratory infections and tuberculosis,2020 - 2022,157,6859,2.2889634057442776
F,15-49 years,Self-harm and interpersonal violence,2008 - 2010,727,46297,1.5702961314988013
F,15-49 years,Self-harm and interpersonal violence,2011 - 2013,380,22458,1.6920473773265652
F,15-49 years,Self-harm and interpersonal violence,2014 - 2016,400,17165,2.330323332362365
F,15-49 years,Self-harm and interpersonal violence,2017 - 2019,380,12511,3.0373271521061467
F,15-49 years,Self-harm and interpersonal violence,2020 - 2022,255,6859,3.717743111240706
F,15-49 years,Sense organ diseases,2008 - 2010,165,46297,0.3563945828023414
F,15-49 years,Sense organ diseases,2011 - 2013,80,22458,0.3562205004898032
F,15-49 years,Sense organ diseases,2014 - 2016,73,17165,0.42528400815613165
