YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,National,US,National,Total,     ,52425659,37613096,14812563,43761388,234590.0,43526798,8664271.0,243169.0,8421102.0,23775022,28650637,39946313,5357790.0,1520608.0,4554525.0,237602.0,808821.0,121178.0,1820241.0,6722853.0,13208761,10738425,7762628.0,5734428.0,3869249.0,1815059.0,632839.0,9586391.0,6902306.0,2684085.0,42839268,47620905,32831884,14789022,52087121,37297881,14789240,47959444,33147099,14812345,35679758,22661451,13018307,10000861,1030113.0,409204.0,24239580
2013,Year,State,AL,Alabama,Total,01,921477.0,711448.0,210029.0,698720.0,4134.0,694586.0,222758.0,5315.0,217442.0,413241.0,508237.0,697285.0,208597.0,3723.0,5319.0,846.0,5708.0,2717.0,45200.0,174841.0,218945.0,177096.0,128998.0,88690.0,54180.0,22971.0,7840.0,200646.0,86784.0,113862.0,720831.0,857619.0,647647.0,209972.0,916105.0,706130.0,209975.0,862992.0,652965.0,210026.0,637247.0,437749.0,199498.0,205496.0,32790.0,11452.0,387510.0
2013,Year,County,AL,Alabama,Autauga County,01001,9323.0,6484.0,2840.0,7088.0,43.0,7045.0,2235.0,39.0,2196.0,4181.0,5142.0,7574.0,1581.0,39.0,60.0,*,*,23.0,512.0,1699.0,2243.0,1934.0,1383.0,844.0,439.0,178.0,67.0,1791.0,695.0,1096.0,7532.0,8708.0,5868.0,2840.0,9289.0,6449.0,2840.0,8742.0,5902.0,2840.0,6036.0,3268.0,2767.0,1839.0,296.0,105.0,3796.0
2013,Year,County,AL,Alabama,Baldwin County,01003,41033.0,28775.0,12258.0,34162.0,113.0,34049.0,6871.0,114.0,6756.0,19265.0,21768.0,37231.0,2915.0,109.0,369.0,122.0,287.0,73.0,1247.0,5551.0,10804.0,9162.0,6385.0,4025.0,2482.0,1045.0,259.0,5119.0,1773.0,3347.0,35913.0,38559.0,26304.0,12255.0,40940.0,28685.0,12255.0,38651.0,26393.0,12258.0,27352.0,15593.0,11759.0,5276.0,867.0,379.0,20830.0
2013,Year,County,AL,Alabama,Barbour County,01005,5847.0,5036.0,810.0,4257.0,49.0,4208.0,1590.0,48.0,1541.0,2608.0,3239.0,3283.0,2500.0,*,15.0,*,39.0,30.0,303.0,1257.0,1403.0,1057.0,752.0,506.0,321.0,154.0,65.0,1755.0,842.0,913.0,4092.0,5456.0,4645.0,810.0,5788.0,4977.0,810.0,5515.0,4704.0,810.0,4170.0,3410.0,759.0,1783.0,304.0,73.0,2009.0
2013,Year,County,AL,Alabama,Bibb County,01007,4574.0,2994.0,1580.0,3078.0,18.0,3060.0,1496.0,24.0,1472.0,2128.0,2446.0,3739.0,797.0,*,17.0,*,14.0,23.0,317.0,1156.0,1016.0,853.0,559.0,338.0,196.0,84.0,32.0,1272.0,601.0,671.0,3302.0,4338.0,2759.0,1580.0,4555.0,2975.0,1580.0,4357.0,2778.0,1580.0,3359.0,1850.0,1509.0,1298.0,228.0,85.0,1749.0
2013,Year,County,AL,Alabama,Blount County,01009,11183.0,6695.0,4488.0,8601.0,30.0,8571.0,2582.0,26.0,2556.0,5162.0,6022.0,10868.0,142.0,17.0,107.0,*,*,32.0,497.0,2053.0,2804.0,2327.0,1613.0,1039.0,547.0,209.0,63.0,2240.0,762.0,1477.0,8944.0,10502.0,6014.0,4488.0,11162.0,6674.0,4488.0,10523.0,6035.0,4488.0,8479.0,4148.0,4331.0,2302.0,387.0,174.0,5616.0
2013,Year,County,AL,Alabama,Bullock County,01011,1886.0,1434.0,452.0,1320.0,17.0,1303.0,566.0,15.0,551.0,820.0,1066.0,492.0,1381.0,0.0,*,0.0,*,*,*,451.0,397.0,333.0,249.0,186.0,78.0,44.0,35.0,724.0,380.0,344.0,1162.0,1719.0,1267.0,452.0,1855.0,1403.0,452.0,1750.0,1298.0,452.0,1446.0,1006.0,440.0,738.0,133.0,23.0,552.0
2013,Year,County,AL,Alabama,Butler County,01013,4576.0,4151.0,425.0,3311.0,26.0,3285.0,1265.0,40.0,1224.0,2009.0,2567.0,2878.0,1665.0,*,*,*,18.0,14.0,228.0,1023.0,1016.0,765.0,595.0,476.0,295.0,113.0,51.0,1369.0,629.0,740.0,3207.0,4336.0,3911.0,425.0,4535.0,4110.0,425.0,4377.0,3952.0,425.0,3428.0,3030.0,397.0,1394.0,226.0,70.0,1737.0
2013,Year,County,AL,Alabama,Calhoun County,01015,25108.0,22073.0,3036.0,18380.0,99.0,18280.0,6728.0,135.0,6594.0,11012.0,14096.0,20801.0,3850.0,89.0,139.0,17.0,213.0,58.0,1383.0,5288.0,5735.0,4597.0,3503.0,2433.0,1432.0,530.0,150.0,5530.0,2286.0,3244.0,19579.0,23187.0,20151.0,3036.0,24999.0,21963.0,3036.0,23296.0,20261.0,3036.0,15167.0,12254.0,2913.0,5648.0,899.0,299.0,8321.0
