,category,block_code,block_title
0,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases
1,Certain infectious and parasitic diseases,A15-A19,Tuberculosis
2,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases
3,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases
4,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission
5,Certain infectious and parasitic diseases,A65-A69,Other spirochaetal diseases
6,Certain infectious and parasitic diseases,A70-A74,Other diseases caused by chlamydiae
7,Certain infectious and parasitic diseases,A75-A79,Rickettsioses
8,Certain infectious and parasitic diseases,A80-A89,Viral infections of the central nervous system
9,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers
10,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions
11,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis
12,Certain infectious and parasitic diseases,B20-B24,Human immunodeficiency virus [HIV] disease
13,Certain infectious and parasitic diseases,B25-B34,Other viral diseases
14,Certain infectious and parasitic diseases,B35-B49,Mycoses
15,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases
16,Certain infectious and parasitic diseases,B65-B83,Helminthiases
17,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations"
18,Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases
19,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents"
20,Certain infectious and parasitic diseases,B99-B99,Other infectious diseases
21,Neoplasms,C00-C97,Malignant neoplasms
22,Neoplasms,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue"
23,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx"
24,Neoplasms,C15-C26,Malignant neoplasms of digestive organs
25,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs
26,Neoplasms,C40-C41,Malignant neoplasms of bone and articular cartilage
27,Neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin
28,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue
29,Neoplasms,C50-C50,Malignant neoplasm of breast
30,Neoplasms,C51-C58,Malignant neoplasms of female genital organs
31,Neoplasms,C60-C63,Malignant neoplasms of male genital organs
32,Neoplasms,C64-C68,Malignant neoplasms of urinary tract
33,Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system"
34,Neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands
35,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
36,Neoplasms,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
37,Neoplasms,C97-C97,Malignant neoplasms of independent (primary) multiple sites
38,Neoplasms,D00-D09,In situ neoplasms
39,Neoplasms,D10-D36,Benign neoplasms
40,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour
41,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D53,Nutritional anaemias
42,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias
43,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias
44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions"
45,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs
46,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
47,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland
48,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus
49,"Endocrine, nutritional and metabolic diseases",E15-E16,Other disorders of glucose regulation and pancreatic internal secretion
50,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands
51,"Endocrine, nutritional and metabolic diseases",E40-E46,Malnutrition
52,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies
53,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation
54,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders
55,Mental and behavioural disorders,F00-F09,"Organic, including symptomatic, mental disorders"
56,Mental and behavioural disorders,F10-F19,Mental and behavioural disorders due to psychoactive substance use
57,Mental and behavioural disorders,F20-F29,"Schizophrenia, schizotypal and delusional disorders"
58,Mental and behavioural disorders,F30-F39,Mood [affective] disorders
59,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders"
60,Mental and behavioural disorders,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors
61,Mental and behavioural disorders,F60-F69,Disorders of adult personality and behaviour
62,Mental and behavioural disorders,F70-F79,Mental retardation
63,Mental and behavioural disorders,F80-F89,Disorders of psychological development
64,Mental and behavioural disorders,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
65,Mental and behavioural disorders,F99-F99,Unspecified mental disorder
66,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system
67,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system
68,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders
69,Diseases of the nervous system,G30-G32,Other degenerative diseases of the nervous system
70,Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system
71,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders
72,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders"
