icd_code,category,subcategory,description
001,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Cholera
002,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Typhoid And Paratyphoid Fevers
003,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other Salmonella Infections
004,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Shigellosis
005,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other Food Poisoning (Bacterial)
006,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Amebiasis
007,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Other Protozoal Intestinal Diseases
008,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Intestinal Infections Due To Other Organisms
009,Infectious And Parasitic Diseases,Intestinal Infectious Diseases,Ill-Defined Intestinal Infections
010,Infectious And Parasitic Diseases,Tuberculosis,Primary Tuberculous Infection
011,Infectious And Parasitic Diseases,Tuberculosis,Pulmonary Tuberculosis
012,Infectious And Parasitic Diseases,Tuberculosis,Other Respiratory Tuberculosis
013,Infectious And Parasitic Diseases,Tuberculosis,Tuberculosis Of Meninges And Central Nervous System
014,Infectious And Parasitic Diseases,Tuberculosis,"Tuberculosis Of Intestines, Peritoneum, And Mesenteric Glands"
015,Infectious And Parasitic Diseases,Tuberculosis,Tuberculosis Of Bones And Joints
016,Infectious And Parasitic Diseases,Tuberculosis,Tuberculosis Of Genitourinary System
017,Infectious And Parasitic Diseases,Tuberculosis,Tuberculosis Of Other Organs
018,Infectious And Parasitic Diseases,Tuberculosis,Miliary Tuberculosis
020,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Plague
021,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Tularemia
022,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Anthrax
023,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Brucellosis
024,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Glanders
025,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Melioidosis
026,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Rat-Bite Fever
027,Infectious And Parasitic Diseases,Zoonotic Bacterial Diseases,Other Zoonotic Bacterial Diseases
030,Infectious And Parasitic Diseases,Other Bacterial Diseases,Leprosy
031,Infectious And Parasitic Diseases,Other Bacterial Diseases,Diseases Due To Other Mycobacteria
032,Infectious And Parasitic Diseases,Other Bacterial Diseases,Diphtheria
033,Infectious And Parasitic Diseases,Other Bacterial Diseases,Whooping Cough
034,Infectious And Parasitic Diseases,Other Bacterial Diseases,Streptococcal Sore Throat And Scarlet Fever
035,Infectious And Parasitic Diseases,Other Bacterial Diseases,Erysipelas
036,Infectious And Parasitic Diseases,Other Bacterial Diseases,Meningococcal Infection
037,Infectious And Parasitic Diseases,Other Bacterial Diseases,Tetanus
038,Infectious And Parasitic Diseases,Other Bacterial Diseases,Septicemia
039,Infectious And Parasitic Diseases,Other Bacterial Diseases,Actinomycotic Infections
040,Infectious And Parasitic Diseases,Other Bacterial Diseases,Other Bacterial Diseases
041,Infectious And Parasitic Diseases,Other Bacterial Diseases,Bacterial Infection In Conditions Classified Elsewhere And Of Unspecified Site
042,Infectious And Parasitic Diseases,Other Bacterial Diseases,Human Immunodeficiency Virus [Hiv] Disease
045,Infectious And Parasitic Diseases,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,Acute Poliomyelitis
046,Infectious And Parasitic Diseases,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,Slow Virus Infection Of Central Nervous System
047,Infectious And Parasitic Diseases,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,Meningitis Due To Enterovirus
048,Infectious And Parasitic Diseases,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,Other Enterovirus Diseases Of Central Nervous System
049,Infectious And Parasitic Diseases,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System,Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System
050,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Smallpox
051,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Cowpox And Paravaccinia
052,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Chickenpox
053,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Herpes Zoster
054,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Herpes Simplex
055,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Measles
056,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Rubella
057,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Other Viral Exanthemata
058,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Other Human Herpesvirus
059,Infectious And Parasitic Diseases,Viral Diseases Accompanied By Exanthem,Other Poxvirus Infections
060,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Yellow Fever
061,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Dengue
062,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Mosquito-Borne Viral Encephalitis
063,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Tick-Borne Viral Encephalitis
064,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Viral Encephalitis Transmitted By Other And Unspecified Arthropods
065,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Arthropod-Borne Hemorrhagic Fever
066,Infectious And Parasitic Diseases,Arthropod-Borne Viral Diseases,Other Arthropod-Borne Viral Diseases
070,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Viral Hepatitis
071,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Rabies
072,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Mumps
073,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Ornithosis
074,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Specific Diseases Due To Coxsackie Virus
075,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Infectious Mononucleosis
076,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Trachoma
077,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Other Diseases Of Conjunctiva Due To Viruses And Chlamydiae
078,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Other Diseases Due To Viruses And Chlamydiae
079,Infectious And Parasitic Diseases,Other Diseases Due To Viruses And Chlamydiae,Viral Infection In Conditions Classified Elsewhere And Of Unspecified Site
080,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Louse-Borne [Epidemic] Typhus
081,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Other Typhus
082,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Tick-Borne Rickettsioses
083,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Other Rickettsioses
084,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Malaria
085,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Leishmaniasis
086,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Trypanosomiasis
087,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Relapsing Fever
088,Infectious And Parasitic Diseases,Rickettsioses And Other Arthropod-Borne Diseases,Other Arthropod-Borne Diseases
090,Infectious And Parasitic Diseases,Syphilis And Other Venereal Diseases,Congenital Syphilis
